protein_UniProt_ID,BioDolphinID
A7NJ91,BD6lod-E-E-EL61
Q15596,BD4wg0-A-A-CHD1
Q96NN9,BD6sk2-D-D-MYR1
P02699,BD4bey-A-A-BOG1
P02699,BD5dys-A-A-BOG1
P02699,BD6fk6-A-A-BOG1
P02699,BD6fkb-A-A-BOG1
P02699,BD6fk7-A-A-BOG1
P02699,BD4a4m-A-A-BOG1
P02699,BD2x72-A-A-BOG1
P02699,BD2x72-A-A-LPP1
P04191,BD2dqs-A-A-PTY1
P04191,BD2dqs-A-A-TG11
P02699,BD1gzm-A-A-PLM1
P02699,BD1gzm-A-A-PEF1
A0A480JRW3,BD8ueo-1d-1d-PC11
P03377,BD3vgx-C-C-ACY1
O70632,BD6mpl-A-A-BOG1
O70632,BD6mpm-A-A-BOG1
O70632,BD6mpn-A-A-BOG1
O70632,BD4rwb-A-A-MPG1
A0A090LYE8,BD7yca-Q-Q-LHG1
A0A090LYE8,BD8hg5-Q-Q-NEX1
Q70626,BD2z2t-C-C-ACY1
P27616,BD2cnq-A-A-SIN1
A4D7H3,BD6nv1-A-A-OLC1
P0DOF5,BD5c02-A-A-OLC1
Q28175,BD4rse-A-A-PLM1
P31417,BD1mdc-A-A-PLM1
P00341,BD3ldh-A-A-PYR1
Q23D87,BD8b6h-EH-EH-CDL1
P04191,BD4ycm-A-A-PTY1
O97725,BD8q0a-q-r-CDL1
O97725,BD8q0a-q-q-3PE1
Q7TMF3,BD6zr2-q-q-CDL1
Q7TMF3,BD8olt-q-B-PC11
A4VDV3,BD8b6h-DS-DS-CDL1
A4VDV3,BD8b6h-DS-DS-3PE1
Q23DP7,BD8b6h-DQ-DQ-CDL1
Q23DP7,BD8b6h-DQ-DQ-PC11
P59777,BD7zq9-J-J-BCR1
Q02827,BD7qsk-d-X-CDL1
Q02827,BD7qsd-d-M-3PE2
I7MGF9,BD8b6h-DH-DH-CDL1
Q23M99,BD8b6h-DV-DV-CDL1
Q23M99,BD8b6h-DV-DV-PC11
Q38CI8,BD8ap6-E-E-CDL1
K1QRB6,BD8jea-A-A-ACY1
P06701,BD4kui-A-A-ACY1
A0A8N7XJ91,BD7zd6-V-M-3PE1
Q9Z1P6,BD8om1-r-q-CDL1
Q9Z1P6,BD8om1-r-r-3PE1
